"Farm Name","State","City","location","lat","lon"
"Down to Earth Organics","Alabama","Montgomery","Alabama, Montgomery",32.3792233,-86.3077368
"Turley Cattle","Alabama","Morris","Alabama, Morris",33.7481576,-86.8086048
"Rusty Tractor Ranch","Alabama","Moulton","Alabama, Moulton",34.4812062,-87.2933533
"Happi Harvest","Alabama","New Brockton","Alabama, New Brockton",31.3857239,-85.9293861
"JDM Family Farm","Alabama","New Hope","Alabama, New Hope",34.5370339,-86.3944307
"Circles of Colors","Alabama","Notasulga","Alabama, Notasulga",32.5606908,-85.6724538
"Deeply Rooted Farms","Alabama","Opelika","Alabama, Opelika",32.6454116,-85.3782795
"Manor Farms","Alabama","Opelika","Alabama, Opelika",32.6454116,-85.3782795
"Ellis Farms","Alabama","Opp","Alabama, Opp",31.2826685,-86.2555067
"Mayim Farm","Alabama","Opp","Alabama, Opp",31.2826685,-86.2555067
"Tolar Satsuma Farm","Alabama","Pansey","Alabama, Pansey",31.1540687,-85.1754866
"Ford Greenhouse & Horticultural","Alabama","Parrish","Alabama, Parrish",33.7418195,-87.267956
"Foothills Farm","Alabama","Piedmont","Alabama, Piedmont",33.9245454,-85.6113501
"C&T Cattle Farm","Alabama","Prattville","Alabama, Prattville",32.4640245,-86.4596966
"Prattville Honey Farm","Alabama","Prattville","Alabama, Prattville",32.4640245,-86.4596966
"Wilderwood Farm","Alabama","Ralph","Alabama, Ralph",33.0420679,-87.7689003
"Brushy Creek Cattle Company","Alabama","Repton","Alabama, Repton",31.4090551,-87.2391473
"4M Farm","Alabama","Roanoke","Alabama, Roanoke",33.1512313,-85.3721708
"Wehadkee Farm","Alabama","Roanoke","Alabama, Roanoke",33.1512313,-85.3721708
"Gardner's Berry Farm","Alabama","Robertsdale","Alabama, Robertsdale",30.5457158,-87.7084037
"Meme's Poultry and Quail Sales","Alabama","Robertsdale","Alabama, Robertsdale",30.5457158,-87.7084037
"LB3 Farm","Alabama","Scottsboro","Alabama, Scottsboro",34.6723069,-86.0341463
"Henderson Farm Alabama","Alabama","Selma","Alabama, Selma",32.4073589,-87.0211007
"C & B Farm","Alabama","Slocomb","Alabama, Slocomb",31.1082335,-85.594378
"Evandale Hereford Farm","Alabama","Smiths Station","Alabama, Smiths Station",32.5393644,-85.0999526
"Smiths Farm & Ranch","Alabama","South Tuskegee","Alabama, South Tuskegee",32.4221663,-85.6891034
"Grateful Akers Farm & Apiary","Alabama","Springville","Alabama, Springville",33.7750997,-86.4716512
"Grateful Akers Sheep & Cattle Co","Alabama","Springville","Alabama, Springville",33.7750997,-86.4716512
"Reeves Farm","Alabama","Stapleton","Alabama, Stapleton",30.742689,-87.7933252
"Blue Rooster Farms","Alabama","Sterrett","Alabama, Sterrett",33.448718,-86.479982
"Four Mile Farms Produce","Alabama","Sylacauga","Alabama, Sylacauga",33.1731716,-86.2516406
"Olive Hill Homeplace","Alabama","Tallassee","Alabama, Tallassee",32.5359683,-85.8932923
"Derbyshire Slough","Alabama","Toney","Alabama, Toney",34.8983333,-86.7333446
"Hyde's Harvest","Alabama","Toney","Alabama, Toney",34.8983333,-86.7333446
"Beavers Christmas Tree Farm","Alabama","Trafford","Alabama, Trafford",33.8181563,-86.7427712
"Twisted Pine Goat Ranch","Alabama","Tuscaloosa","Alabama, Tuscaloosa",33.2098407,-87.5691735
"BDA Farm","Alabama","Uniontown","Alabama, Uniontown",32.4494631,-87.5143512
"Katie's Gourds","Alabama","Vinemont","Alabama, Vinemont",34.2429261,-86.8671293
"Spradlin Farm","Alabama","Vinemont","Alabama, Vinemont",34.2429261,-86.8671293
"Ekvn-Yefolecv","Alabama","Weogufka","Alabama, Weogufka",33.0167076,-86.3121433
"Shiloh Ridge Farm","Alabama","Wetumpka","Alabama, Wetumpka",32.5437448,-86.2119127
"Lovelight Farm","Alabama","Wilsonville","Alabama, Wilsonville",33.234281,-86.4835916
"Futral Farms LLC","Alabama","Woodland","Alabama, Woodland",33.3742812,-85.399673
"Eagle Eye Honey","Arizona","Aguila","Arizona, Aguila",33.9428069,-113.1740805
"Forever Yong Farm","Arizona","Amado","Arizona, Amado",31.7078658,-111.0645359
"Arivaca Community Garden","Arizona","Arivaca","Arizona, Arivaca",31.5773351,-111.3314522
"Whorled Leaf","Arizona","Arivaca","Arizona, Arivaca",31.5773351,-111.3314522
"Leverone Family Farm LLC","Arizona","Ash Fork","Arizona, Ash Fork",35.2250114,-112.4840675
"M Triangle Ranch","Arizona","Bonita","Arizona, Bonita",34.0489281,-111.0937311
"Crow's Dairy","Arizona","Buckeye","Arizona, Buckeye",33.3703197,-112.5837766
"Tim Vanderhart Farms LLC","Arizona","Buckeye","Arizona, Buckeye",33.3703197,-112.5837766
"Clear Creek Vineyard & Winery","Arizona","Camp Verde","Arizona, Camp Verde",34.5636358,-111.8543178
"Caywood Farms","Arizona","Casa Grande","Arizona, Casa Grande",32.9110027,-111.7733902
"Auza Herefords","Arizona","Chandler","Arizona, Chandler",33.3061605,-111.8412502
"Andrew Acres Farm","Arizona","Chino Valley","Arizona, Chino Valley",34.7575227,-112.4537809
"B Organic Farm","Arizona","Chino Valley","Arizona, Chino Valley",34.7575227,-112.4537809
"Cold Creek Ranch","Arizona","Clifton","Arizona, Clifton",33.0508966,-109.2961826
"Cochise Family Farm LLC","Arizona","Cochise","Arizona, Cochise",32.1139688,-109.9211756
"Gillespie Farms","Arizona","Coolidge","Arizona, Coolidge",32.977839,-111.517624
"Harmony Acres Ranch","Arizona","Cornville","Arizona, Cornville",34.7177989,-111.9215438
"Lazy 5 S Cattle Company","Arizona","Cornville","Arizona, Cornville",34.7177989,-111.9215438
"Riverside Farm","Arizona","Duncan","Arizona, Duncan",32.7214599,-109.1053408
"FlatTop Farm LLC","Arizona","Eagar","Arizona, Eagar",34.1111581,-109.291475
"R Lazy J Ranch","Arizona","Eager","Arizona, Eager",34.0489281,-111.0937311
"Cochise Pecans LLC","Arizona","Elfrida","Arizona, Elfrida",31.6852283,-109.6874513
"Coyote Song Farm","Arizona","Elfrida","Arizona, Elfrida",31.6852283,-109.6874513
"Golden Rule Dairy","Arizona","Elfrida","Arizona, Elfrida",31.6852283,-109.6874513
"Sheep Thrills Farm","Arizona","Flagstaff","Arizona, Flagstaff",35.1982836,-111.651302
"Goats with Horns","Arizona","Gilbert","Arizona, Gilbert",33.3528264,-111.789027
"Heartquist Hollow Family Farm","Arizona","Gilbert","Arizona, Gilbert",33.3528264,-111.789027
"Perry Land & Cattle","Arizona","Gilbert","Arizona, Gilbert",33.3528264,-111.789027
"GF Ranch","Arizona","Golden Valley","Arizona, Golden Valley",35.2233311,-114.2230108
"Desert Bloom Garden Center","Arizona","Green Valley","Arizona, Green Valley",31.8542511,-110.9937019
"Beatty’s Guest Ranch & Orchard","Arizona","Hereford","Arizona, Hereford",31.4384325,-110.0978554
"Laine Organic Farms","Arizona","Hereford","Arizona, Hereford",31.4384325,-110.0978554
"Dusty River Produce","Arizona","Holbrook","Arizona, Holbrook",34.9022482,-110.1581768
"Ravens Perch Ranch","Arizona","Huachuca City","Arizona, Huachuca City",31.6278703,-110.3339678
"Alpacas of the Southwest","Arizona","Kingman","Arizona, Kingman",35.189443,-114.0530065
"Frost Sheep","Arizona","Kingman","Arizona, Kingman",35.189443,-114.0530065
"Mountain Egg Farm","Arizona","Kingman","Arizona, Kingman",35.189443,-114.0530065
"White Harte Farms","Arizona","Lake Havasu City","Arizona, Lake Havasu City",34.483901,-114.3224548
"CJ's Orchard","Arizona","Marana","Arizona, Marana",32.436381,-111.2224422
"High Energy Agriculture","Arizona","Marana","Arizona, Marana",32.436381,-111.2224422
"Iron Quail Ranch","Arizona","Marana","Arizona, Marana",32.436381,-111.2224422
"Larry's Veggies","Arizona","Marana","Arizona, Marana",32.436381,-111.2224422
"Laughing Bird Ranch","Arizona","Marana","Arizona, Marana",32.436381,-111.2224422
"Grace Ranch","Arizona","Maricopa","Arizona, Maricopa",33.2917968,-112.4291464
"Arizona Farm Grow","Arizona","Mesa","Arizona, Mesa",33.4151843,-111.8314724
"Double Blessings","Arizona","Mesa","Arizona, Mesa",33.4151843,-111.8314724
"Steadfast Farm","Arizona","Mesa","Arizona, Mesa",33.4151843,-111.8314724
"Summers Fruit Barn (and orchard)","Arizona","Mesa","Arizona, Mesa",33.4151843,-111.8314724
"Elizabeth's Garden","Arizona","Oro Valley","Arizona, Oro Valley",32.3909071,-110.966488
"Buckelew Farms II","Arizona","Parker","Arizona, Parker",34.1500162,-114.2891177
"Martinez Farms","Arizona","Parker","Arizona, Parker",34.1500162,-114.2891177
"LAME Acres Nubian Goat Farm","Arizona","Paulden","Arizona, Paulden",34.8855756,-112.4682271
"Quenga Farm","Arizona","Paulden","Arizona, Paulden",34.8855756,-112.4682271
"Ridgeview Farms","Arizona","Paulden","Arizona, Paulden",34.8855756,-112.4682271
"McClendon's Select","Arizona","Peoria","Arizona, Peoria",33.5805955,-112.2373779
"Peoria AZ Fainting Goats","Arizona","Peoria","Arizona, Peoria",33.5805955,-112.2373779
"Area Farms Arizona","Arizona","Phoenix","Arizona, Phoenix",33.4483771,-112.0740373
"Arizona Microgreens","Arizona","Phoenix","Arizona, Phoenix",33.4483771,-112.0740373
"Arizona Worm Farm","Arizona","Phoenix","Arizona, Phoenix",33.4483771,-112.0740373
"Cactus Hills Alpaca Farm","Arizona","Phoenix","Arizona, Phoenix",33.4483771,-112.0740373
"Crooked Carrot Farm","Arizona","Phoenix","Arizona, Phoenix",33.4483771,-112.0740373
"Diaspora Garden","Arizona","Phoenix","Arizona, Phoenix",33.4483771,-112.0740373
"Herbal.Lyf.Styl LLC","Arizona","Phoenix","Arizona, Phoenix",33.4483771,-112.0740373
"Horny Toad Farm","Arizona","Phoenix","Arizona, Phoenix",33.4483771,-112.0740373
"Hypha Farms","Arizona","Phoenix","Arizona, Phoenix",33.4483771,-112.0740373
"Sacred Garden Farm","Arizona","Phoenix","Arizona, Phoenix",33.4483771,-112.0740373
"Tiger Mountain Foundation","Arizona","Phoenix","Arizona, Phoenix",33.4483771,-112.0740373
"Pine Creek Lavender Farm","Arizona","Pine","Arizona, Pine",NA,NA
"Pinedora Farms","Arizona","Pinedale","Arizona, Pinedale",34.3075397,-110.2515054
"White Barn Hay & Cattle","Arizona","Portal","Arizona, Portal",31.9137028,-109.1414495
"Delicious Earth Farm","Arizona","Prescott","Arizona, Prescott",34.5400242,-112.4685025
"Painted Lady Vineyard","Arizona","Prescott","Arizona, Prescott",34.5400242,-112.4685025
"Blue Goose Farms","Arizona","Prescott Valley","Arizona, Prescott Valley",34.6096777,-112.315259
"AZ Silkies & Seramas","Arizona","Queen Creek","Arizona, Queen Creek",33.2485715,-111.6377055
"Ennes Club Lambs","Arizona","Queen Creek","Arizona, Queen Creek",33.2485715,-111.6377055
"Hagen Farms","Arizona","Queen Creek","Arizona, Queen Creek",33.2485715,-111.6377055
"Wild Heart Farm","Arizona","Rimrock","Arizona, Rimrock",34.640417,-111.7833524
"Angle Orchard","Arizona","Safford","Arizona, Safford",32.8339546,-109.70758
"Poultry Paradise Free Range Birds","Arizona","Saint David","Arizona, Saint David",31.9042517,-110.2142399
"Growers Best Organics","Arizona","San Tan Valley","Arizona, San Tan Valley",33.177294,-111.5468301
"Magma 840","Arizona","San Tan Valley","Arizona, San Tan Valley",33.177294,-111.5468301
"Wagner Christmas Trees","Arizona","Scottsdale","Arizona, Scottsdale",33.4948764,-111.9216734
"White Mountain KuneKunes","Arizona","Show Low","Arizona, Show Low",34.2542084,-110.0298327
"Bowman Farms","Arizona","Solomon","Arizona, Solomon",32.8141183,-109.6294831
"Knight Herefords","Arizona","Springerville","Arizona, Springerville",34.1333799,-109.2859196
"Dart Organics II","Arizona","Stanfield","Arizona, Stanfield",32.8825531,-111.9620805
"Bradbury Farms","Arizona","Surprise","Arizona, Surprise",33.6292337,-112.3679279
"Cotton Lane Citrus","Arizona","Surprise","Arizona, Surprise",33.6292337,-112.3679279
"Daisy Mae’s Family Farm","Arizona","Surprise","Arizona, Surprise",33.6292337,-112.3679279
"Dynamite Organic Farm","Arizona","Surprise","Arizona, Surprise",33.6292337,-112.3679279
"Kennedy's Roots Farm","Arizona","Surprise","Arizona, Surprise",33.6292337,-112.3679279
"Two Five Farm","Arizona","Surprise","Arizona, Surprise",33.6292337,-112.3679279
"Cheney Sheep","Arizona","Tempe","Arizona, Tempe",33.4255104,-111.9400054
"C3's Gallinaceous Hatchery","Arizona","Tonopah","Arizona, Tonopah",33.4934778,-112.9370802
"Litson Ranch","Arizona","Tsaile","Arizona, Tsaile",36.3060588,-109.2207725
"Arizona Cactus Ranch","Arizona","Tucson","Arizona, Tucson",32.2539787,-110.9741769
"Dos Manos Apiaries","Arizona","Tucson","Arizona, Tucson",32.2539787,-110.9741769
"Holistic Green Things","Arizona","Tucson","Arizona, Tucson",32.2539787,-110.9741769
"HoofsnHorns","Arizona","Tucson","Arizona, Tucson",32.2539787,-110.9741769
"Miss Linda’s Farm","Arizona","Tucson","Arizona, Tucson",32.2539787,-110.9741769
"Tucson CSA","Arizona","Tucson","Arizona, Tucson",32.2539787,-110.9741769
"Tucson Organic Gardeners","Arizona","Tucson","Arizona, Tucson",32.2539787,-110.9741769
"Bella Luna Goat Farm","Arizona","Vernon","Arizona, Vernon",34.2549559,-109.6926121
"BHB Miniature Herefords","Arizona","Waddell","Arizona, Waddell",33.5757703,-112.4504235
"Date Creek Ranch LLC","Arizona","Wickenburg","Arizona, Wickenburg",33.9697664,-112.7301882
"Tirrito Farms","Arizona","Wilcox","Arizona, Wilcox",32.2528519,-109.8320124
"Copper Horse Vineyard","Arizona","Willcox","Arizona, Willcox",32.2528519,-109.8320124
"Dragoon Mountain Vineyard","Arizona","Willcox","Arizona, Willcox",32.2528519,-109.8320124
"Hoof and Wattle Homestead","Arizona","Wittmann","Arizona, Wittmann",33.7763856,-112.5282591
"Hillside Farms","Arizona","Yuma","Arizona, Yuma",32.6926512,-114.6276916
"Mad H Acres Farm","Arkansas","Alma","Arkansas, Alma",35.4922086,-94.2260868
"Ahillen Acres","Arkansas","Austin","Arkansas, Austin",34.9989648,-91.9840288
"Elk Farms","Arkansas","Austin","Arkansas, Austin",34.9989648,-91.9840288
"IMOJE Dawson Family Farms","Arkansas","Austin","Arkansas, Austin",34.9989648,-91.9840288
"Phifer Farms","Arkansas","Bald Knob","Arkansas, Bald Knob",35.3083426,-91.5707421
"Blowing Oaks Ranch","Arkansas","Batesville","Arkansas, Batesville",35.7696862,-91.6409431
"R&D Gay Farms","Arkansas","Batesville","Arkansas, Batesville",35.7696862,-91.6409431
"Big Red Farms","Arkansas","Bauxite","Arkansas, Bauxite",34.5553626,-92.5215565
"DreamWeavers Family Farm","Arkansas","Bauxite","Arkansas, Bauxite",34.5553626,-92.5215565
"Connell Berry Farm","Arkansas","Benton","Arkansas, Benton",34.5693083,-92.585378
"Rusty Rooster Chicken Ranch","Arkansas","Benton","Arkansas, Benton",34.5693083,-92.585378
"Triple Z Farm LLC","Arkansas","Benton","Arkansas, Benton",34.5693083,-92.585378
"L. Weston Cattle Company LLC","Arkansas","Bentonville","Arkansas, Bentonville",36.3723561,-94.2102141
"Helm View Homestead","Arkansas","Bigelow","Arkansas, Bigelow",35.000929,-92.6303085
"Porch Swing Farms","Arkansas","Bigelow","Arkansas, Bigelow",35.000929,-92.6303085
"Up Jack Creek Farm","Arkansas","Booneville","Arkansas, Booneville",35.1402167,-93.9218309
"3E Cattle Company","Arkansas","Bradford","Arkansas, Bradford",35.4232724,-91.4557526
"Hallie Hankins Herefords","Arkansas","Cabot","Arkansas, Cabot",34.9748751,-92.0163297
"JWC Farm","Arkansas","Cabot","Arkansas, Cabot",34.9748751,-92.0163297
"Piney Creek Farm KuneKunes","Arkansas","Calico Rock","Arkansas, Calico Rock",36.1195106,-92.1360968
"R Family Farm","Arkansas","Canehill","Arkansas, Canehill",35.908693,-94.3966026
"Pine Grove Christmas Tree Farm","Arkansas","Charleston","Arkansas, Charleston",35.2971909,-94.0437396
"Circle H Bar Ranch","Arkansas","Clarksville","Arkansas, Clarksville",35.4712243,-93.468612
"The Bluebird Ranch Winery","Arkansas","Clinton","Arkansas, Clinton",35.20105,-91.8318334
"Millie Moo Farms","Arkansas","Conway","Arkansas, Conway",35.0917506,-92.4366522
"The Riley Homestead","Arkansas","Conway","Arkansas, Conway",35.0917506,-92.4366522
"Age Old Agriculture","Arkansas","Cotter","Arkansas, Cotter",36.2689041,-92.5359398
"Gardenscapes GCK","Arkansas","Crawfordsville","Arkansas, Crawfordsville",35.2275715,-90.3263739
"Bradford Valley Farms","Arkansas","Damascus","Arkansas, Damascus",35.3647189,-92.4112822
"Rock-A-Berry Farm LLC","Arkansas","Decatur","Arkansas, Decatur",36.3357841,-94.4606995
"Ouachita River Valley Farm","Arkansas","Donaldson","Arkansas, Donaldson",34.2369246,-92.9235747
"Holland Wildflower Farm","Arkansas","Elkins","Arkansas, Elkins",36.0006514,-94.0088348
"Horn Farms & Country Kitchen","Arkansas","Elm Springs","Arkansas, Elm Springs",36.2063111,-94.2347599
"Railway Winery & Vineyards","Arkansas","Eureka Springs","Arkansas, Eureka Springs",36.4006499,-93.7392889
"Opossum Hollow Produce","Arkansas","Evansville","Arkansas, Evansville",35.7955749,-94.4965417
"Ames Orchard and Nursery","Arkansas","Fayetteville","Arkansas, Fayetteville",36.0626579,-94.1605839
"Apple Star Farm","Arkansas","Fayetteville","Arkansas, Fayetteville",36.0626579,-94.1605839
"Waltzing Rock Farm","Arkansas","Fayetteville","Arkansas, Fayetteville",36.0626579,-94.1605839
"Ozark Valley Bison Farm","Arkansas","Fox","Arkansas, Fox",35.7914653,-92.2976558
"B&B Farms","Arkansas","Glencoe","Arkansas, Glencoe",36.2942329,-91.7473681
"Cadron Delta Farms","Arkansas","Greenbrier","Arkansas, Greenbrier",35.2340491,-92.3878973
"Looper Farms","Arkansas","Greenwood","Arkansas, Greenwood",35.2124772,-94.2557922
"Mountain Valley Cattle Co","Arkansas","Hackett","Arkansas, Hackett",35.1865945,-94.4137643
"Three Hollows Farm","Arkansas","Harriet","Arkansas, Harriet",35.9934068,-92.5204394
"Frog Creek Farm","Arkansas","Harrisburg","Arkansas, Harrisburg",35.5639977,-90.7243359
"Dayspring Farms","Arkansas","Harrison","Arkansas, Harrison",36.2297712,-93.107405
"Duvall Farms","Arkansas","Hattieville","Arkansas, Hattieville",35.2875106,-92.7868155
"Walker Farms","Arkansas","Huntington","Arkansas, Huntington",35.0822834,-94.2633956
"Dripping Springs Garden","Arkansas","Huntsville","Arkansas, Huntsville",36.0874118,-93.7349696
"Sandy Hill Farm","Arkansas","Huntsville","Arkansas, Huntsville",36.0874118,-93.7349696
"Crowson & Cherry Land & Cattle","Arkansas","Jonesboro","Arkansas, Jonesboro",35.835696,-90.7051346
"Hydro House","Arkansas","Jonesboro","Arkansas, Jonesboro",35.835696,-90.7051346
"Lost Creek Flowers","Arkansas","Jonesboro","Arkansas, Jonesboro",35.835696,-90.7051346
"Davis Farms","Arkansas","Junction City","Arkansas, Junction City",33.0155568,-92.7247684
"Sweden Creek Farm","Arkansas","Kingston","Arkansas, Kingston",36.0504981,-93.5182424
"Wild Ozark","Arkansas","Kingston","Arkansas, Kingston",36.0504981,-93.5182424
"Dakotah Pastures","Arkansas","Knoxville","Arkansas, Knoxville",35.3823653,-93.3641607
"Spillman Family Farms","Arkansas","Lead Hill","Arkansas, Lead Hill",36.419704,-92.9141979
"RNG Farm","Arkansas","Leslie","Arkansas, Leslie",35.8295459,-92.560323
"Berry Haven Farms","Arkansas","Little Rock","Arkansas, Little Rock",34.7444618,-92.2880157
"Cardinal Pickin Produce","Arkansas","Little Rock","Arkansas, Little Rock",34.7444618,-92.2880157
"Chas-s C Farms","Arkansas","Little Rock","Arkansas, Little Rock",34.7444618,-92.2880157
"Walnut Valley Honey Company","Arkansas","Little Rock","Arkansas, Little Rock",34.7444618,-92.2880157
"Sprout Urban Farms Co.","Arkansas","Little Rock","Arkansas, Little Rock",34.7444618,-92.2880157
"Aviary Flower Farm","Arkansas","Locust Bayou","Arkansas, Locust Bayou",33.5570975,-92.6689078
"Pine Ridge Gardens","Arkansas","London","Arkansas, London",35.3315065,-93.2538306
"Renee's Berry Garden","Arkansas","London","Arkansas, London",35.3315065,-93.2538306
"Broken Spur Ranch","Arkansas","Lonoke","Arkansas, Lonoke",34.7843212,-91.9000647
"Hillside Acres Farm of NWA","Arkansas","Lowell","Arkansas, Lowell",36.2541286,-94.1368255
"Ozark Alternative","Arkansas","Lowell","Arkansas, Lowell",36.2541286,-94.1368255
"Sacred Hollow Farm","Arkansas","Lowell","Arkansas, Lowell",36.2541286,-94.1368255
"CJ Farms","Arkansas","Malvern","Arkansas, Malvern",34.3624245,-92.8123856
"Starbrite Farm","Arkansas","Marshall","Arkansas, Marshall",35.9105314,-92.6315576
"Shook Farms","Arkansas","McRae","Arkansas, McRae",35.1136057,-91.8224728
"Barnyard Friends","Arkansas","Morrilton","Arkansas, Morrilton",35.1526163,-92.7437844
"Movie House Winery","Arkansas","Morrilton","Arkansas, Morrilton",35.1526163,-92.7437844
"Caston Farms","Arkansas","Onia","Arkansas, Onia",35.9189632,-92.3271013
"Dunrovin Farm","Arkansas","Paris","Arkansas, Paris",35.29212,-93.7299209
"Harmony Acres Farm","Arkansas","Pocahontas","Arkansas, Pocahontas",36.2632561,-90.9716953
"Boyd Family Farms","Arkansas","Ratcliff","Arkansas, Ratcliff",35.3076626,-93.8828063
"Remedy Fields","Arkansas","Rector","Arkansas, Rector",36.2636877,-90.2927729
"Renegade Hens","Arkansas","Rogers","Arkansas, Rogers",36.3335129,-94.1256953
"Four Dragons Farm LLC","Arkansas","Roland","Arkansas, Roland",34.9015512,-92.498299
"Rock Creek Farm","Arkansas","Romance","Arkansas, Romance",35.240713,-92.0519036
"Thundering L Herefords","Arkansas","Rose Bud","Arkansas, Rose Bud",35.3316328,-92.081421
"Goody Gang LLC","Arkansas","Russellville","Arkansas, Russellville",35.278116,-93.1337007
"Deiscirt Cross Feirm","Arkansas","Saint Joe","Arkansas, Saint Joe",36.0302992,-92.8054916
